episode,step,speed,raw_policy_throttle,raw_policy_brake,policy_throttle,policy_brake,final_throttle,final_brake,raw_pedal,applied_pedal,front_gap,min_ttc,shield_ttc,dsafe_d,ttc_shield_fired,dsafe_active
0,48,6.269,0.5445,0.0959,0.4509,0.0,0.4509,0.0,0.4486,0.4509,0.0,1.0,nan,nan,0,0
0,49,6.3393,0.4711,0.1046,0.463,0.0,0.463,0.0,0.3665,0.463,0.0,1.0,nan,nan,0,0
0,50,6.3798,0.3001,0.1207,0.3653,0.0,0.3653,0.0,0.1794,0.3653,0.0,1.0,nan,nan,0,0
0,51,6.4038,0.3067,0.1181,0.3301,0.0,0.3301,0.0,0.1886,0.3301,0.0,1.0,nan,nan,0,0
0,52,6.434,0.267,0.1134,0.2922,0.0,0.2922,0.0,0.1536,0.2922,0.0,1.0,nan,nan,0,0
0,53,6.4263,0.2599,0.094,0.2728,0.0,0.2728,0.0,0.1659,0.2728,0.0,1.0,nan,nan,0,0
0,54,6.3769,0.2248,0.0556,0.244,0.0,0.244,0.0,0.1692,0.244,0.0,1.0,nan,nan,0,0
0,55,6.2926,0.2072,0.1191,0.2219,0.0,0.2219,0.0,0.0881,0.2219,0.0,1.0,nan,nan,0,0
0,56,6.213,0.3964,0.0987,0.3266,0.0,0.3266,0.0,0.2977,0.3266,0.0,1.0,nan,nan,0,0
0,57,6.1513,0.2478,0.1223,0.2793,0.0,0.2793,0.0,0.1255,0.2793,0.0,1.0,nan,nan,0,0
0,58,6.0753,0.1142,0.0604,0.1802,0.0,0.1802,0.0,0.0538,0.1802,0.0,1.0,nan,nan,0,0
0,59,5.9254,0.0694,0.0702,0.0,0.0702,0.0,0.0702,-0.0008,-0.0702,0.0,1.0,nan,nan,0,0
0,60,5.7133,0.1105,0.0368,0.0663,0.0,0.0663,0.0,0.0737,0.0663,0.0,1.0,nan,nan,0,0
0,61,5.4949,0.1102,0.0385,0.0926,0.0,0.0926,0.0,0.0717,0.0926,0.0,1.0,nan,nan,0,0
0,62,5.2916,0.1491,0.0464,0.1265,0.0,0.1265,0.0,0.1027,0.1265,0.0,1.0,nan,nan,0,0
0,63,5.1324,0.5978,0.0476,0.4093,0.0,0.4093,0.0,0.5502,0.4093,0.0,1.0,nan,nan,0,0
0,64,5.0922,0.907,0.0455,0.7079,0.0,0.7079,0.0,0.8615,0.7079,0.0,1.0,nan,nan,0,0
0,65,5.2613,0.9405,0.0474,0.8475,0.0,0.8475,0.0,0.8931,0.8475,0.0,1.0,nan,nan,0,0
0,66,5.6318,0.7257,0.0604,0.7744,0.0,0.7744,0.0,0.6653,0.7744,0.0,1.0,nan,nan,0,0
0,67,6.009,0.1051,0.0425,0.3728,0.0,0.3728,0.0,0.0626,0.3728,0.0,1.0,nan,nan,0,0
0,68,6.1966,0.1406,0.0619,0.2335,0.0,0.2335,0.0,0.0787,0.2335,0.0,1.0,nan,nan,0,0
0,69,6.2124,0.2071,0.0444,0.2177,0.0,0.2177,0.0,0.1627,0.2177,0.0,1.0,nan,nan,0,0
0,70,6.16,0.1739,0.0603,0.1914,0.0,0.1914,0.0,0.1136,0.1914,0.0,1.0,nan,nan,0,0
0,71,6.0661,0.1583,0.0475,0.1715,0.0,0.1715,0.0,0.1108,0.1715,19.7813,1.0,nan,nan,0,0
0,72,5.9536,0.2196,0.034,0.2004,0.0,0.2004,0.0,0.1856,0.2004,19.3533,1.0,nan,nan,0,0
0,73,5.835,0.1923,0.0358,0.1955,0.0,0.1955,0.0,0.1565,0.1955,18.9848,1.0,nan,nan,0,0
0,74,5.704,0.1048,0.0366,0.1411,0.0,0.1411,0.0,0.0682,0.1411,18.6791,1.0,nan,nan,0,0
0,75,5.5775,0.3703,0.0259,0.2786,0.0,0.2786,0.0,0.3444,0.2786,18.4375,1.0,nan,nan,0,0
0,76,5.4773,0.2346,0.0574,0.2522,0.0,0.2522,0.0,0.1772,0.2522,18.2575,1.0,nan,nan,0,0
0,77,5.3828,0.169,0.0566,0.2023,0.0,0.2023,0.0,0.1124,0.2023,18.1371,1.0,nan,nan,0,0
0,78,5.2947,0.3661,0.0876,0.3006,0.0,0.3006,0.0,0.2785,0.3006,0.0,1.0,nan,nan,0,0
0,79,5.2546,0.6308,0.0699,0.4987,0.0,0.4987,0.0,0.5609,0.4987,0.0,1.0,nan,nan,0,0
0,80,5.3117,0.5912,0.083,0.5542,0.0,0.5542,0.0,0.5082,0.5542,0.0,1.0,nan,nan,0,0
0,81,5.4422,0.572,0.0502,0.5649,0.0,0.5649,0.0,0.5218,0.5649,0.0,1.0,nan,nan,0,0
0,82,5.6164,0.5181,0.0299,0.5368,0.0,0.5368,0.0,0.4882,0.5368,0.0,1.0,nan,nan,0,0
0,83,5.7989,0.4992,0.0194,0.5142,0.0,0.5142,0.0,0.4798,0.5142,0.0,1.0,nan,nan,0,0
0,84,5.9283,0.1769,0.0414,0.3118,0.0,0.3118,0.0,0.1355,0.3118,0.0,1.0,nan,nan,0,0
0,85,5.976,0.2858,0.0396,0.2962,0.0,0.2962,0.0,0.2462,0.2962,0.0,1.0,nan,nan,0,0
0,86,5.9556,0.1264,0.0394,0.1944,0.0,0.1944,0.0,0.087,0.1944,0.0,1.0,nan,nan,0,0
0,87,5.8795,0.1633,0.0366,0.1757,0.0,0.1757,0.0,0.1267,0.1757,0.0,1.0,nan,nan,0,0
0,88,5.7637,0.1006,0.0468,0.1306,0.0,0.1306,0.0,0.0538,0.1306,0.0,1.0,nan,nan,0,0
0,89,5.6197,0.1386,0.0548,0.1354,0.0,0.1354,0.0,0.0838,0.1354,0.0,1.0,nan,nan,0,0
0,90,5.4627,0.1379,0.0477,0.1369,0.0,0.1369,0.0,0.0902,0.1369,0.0,1.0,nan,nan,0,0
0,91,5.2914,0.1231,0.0714,0.1286,0.0,0.1286,0.0,0.0517,0.1286,0.0,1.0,nan,nan,0,0
0,92,5.1306,0.2298,0.0889,0.1893,0.0,0.1893,0.0,0.1409,0.1893,0.0,1.0,nan,nan,0,0
0,93,5.0763,0.2592,0.0874,0.2312,0.0,0.2312,0.0,0.1718,0.2312,0.0,1.0,nan,nan,0,0
0,94,5.0689,0.1651,0.0853,0.1915,0.0,0.1915,0.0,0.0798,0.1915,0.0,1.0,nan,nan,0,0
0,95,4.5335,0.1768,0.2062,0.0,0.2062,0.0,0.2062,-0.0294,-0.2062,0.0,0.5629,nan,nan,0,0
0,96,4.3903,0.6275,0.1155,0.3765,0.0,0.3765,0.0,0.512,0.3765,0.0,0.5195,nan,nan,0,0
0,97,4.4838,0.4404,0.1909,0.4148,0.0,0.4148,0.0,0.2495,0.4148,0.0,0.4983,nan,nan,0,0
0,98,4.6115,0.4117,0.0635,0.4129,0.0,0.4129,0.0,0.3482,0.4129,0.0,0.4833,nan,nan,0,0
0,99,4.7079,0.2137,0.0333,0.2934,0.0,0.2934,0.0,0.1804,0.2934,0.0,0.4712,nan,nan,0,0
0,100,4.8331,0.7976,0.0605,0.5959,0.0,0.5959,0.0,0.7371,0.5959,0.0,1.0,nan,nan,0,0
0,101,5.0179,0.3461,0.0286,0.446,0.0,0.446,0.0,0.3175,0.446,0.0,1.0,nan,nan,0,0
0,102,5.1488,0.2961,0.0472,0.356,0.0,0.356,0.0,0.2489,0.356,0.0,1.0,nan,nan,0,0
