step,episode,ep_return,ep_env_return,ep_steps,critic_loss,q1_mean,actor_loss,alpha,entropy,restarts,wall_min
140709,62,4258.83,2974.34,1000,36.8022,-22.715,21.7448,0.1932,-3.037,0,73.2
141709,63,6802.13,4779.1,1000,33.9414,-31.495,30.8467,0.1928,-3.065,0,73.9
142709,64,5510.97,3969.45,1000,40.8762,-23.878,24.071,0.1956,-3.189,0,74.6
143709,65,7612.25,5195.01,1000,34.1614,-24.139,23.7664,0.1939,-3.138,0,75.4
144709,66,7327.89,5101.44,1000,43.4199,-27.22,27.2403,0.1934,-2.962,0,76.1
145709,67,5876.39,4244.35,1000,41.7654,-24.059,23.3227,0.1926,-2.71,0,76.8
145828,68,-270.9,403.96,119,34.2236,-22.626,22.1031,0.1919,-2.966,0,76.9
146828,69,7501.6,5241.99,1000,34.4964,-25.615,25.1197,0.1928,-2.959,0,77.6
147828,70,7699.03,5392.46,1000,44.6979,-24.945,24.834,0.1921,-2.981,0,78.4
148828,71,6430.24,4470.95,1000,43.863,-24.249,23.4823,0.1919,-3.046,0,79.1
149047,72,120.67,708.1,219,45.8325,-21.773,21.2008,0.1909,-3.064,0,79.3
150047,73,7122.73,5219.9,1000,43.0858,-22.52,21.2365,0.1925,-2.954,0,80.0
151047,74,7274.06,5135.65,1000,44.1762,-23.45,23.2333,0.1909,-3.104,0,80.7
152047,75,7180.99,5339.29,1000,37.2227,-24.579,23.6065,0.1899,-3.01,0,81.4
153047,76,7841.14,5509.09,1000,46.3401,-18.819,18.049,0.1914,-3.087,0,82.2
154047,77,8334.95,5780.66,1000,41.0184,-23.49,22.9067,0.1902,-3.03,0,82.9
155047,78,7619.25,5449.81,1000,45.153,-20.847,20.1205,0.1888,-2.977,0,83.6
156047,79,7599.17,5286.26,1000,39.8694,-20.988,21.4862,0.1856,-3.193,0,84.3
157047,80,8632.31,6073.47,1000,41.1989,-19.744,19.218,0.1851,-3.024,0,85.0
158047,81,7643.62,5263.47,1000,47.5404,-18.636,18.3123,0.1854,-2.982,0,85.8
